title,artist,album,isrc,genre
A Pesar Del Dolor,Oswaldo Morelos,Juntos Para Siempre,COC019723212,Music > Roots > Folk > Latin Folk > Vallenato
No Me Pidas Que Te Olvide,Ivan Villazon,Amores,US7VG1454526,Music > Roots > Folk > Latin Folk > Vallenato
Muero por Verla,Luis Mateus,Luis Mateus y la Nueva Generación,COF019700242,Music > Roots > Folk > Latin Folk > Vallenato
Enamórate Como Yo,Adriana Lucia,Enamórate Como Yo,COFC19732001,Music > Roots > Folk > Latin Folk > Vallenato
Comprendeme,Ivan Villazon,Pongale la Firma,US7VG1453883,Music > Roots > Folk > Latin Folk > Vallenato
Zona de Peligro,Bobby Pulido,Entre Besos Y Heridas,USJE61302032,Music > Roots > Regional Mexicano > Texano
Y No Lo Acepto,Negami,Nuestra Voz... Nuestra Historia,USHM20862883,Music > Roots > Regional Mexicano > Texano
Dicen Por Ahi,Negami,Nuestra Voz... Nuestra Historia,USHM20862890,Music > Roots > Regional Mexicano > Texano
You Owe Me Some Kind of Love,Chris Isaak,Chris Isaak,USRE19902100,Music > Rock > Soft Rock
Blue Hotel,Chris Isaak,Chris Isaak,USRE19902102,Music > Rock > Roots Rock
Lie To Me,Chris Isaak,Chris Isaak,USRE19902103,Music > Rock > Soft Rock
Doused,DIIV,Oshin,US8YA1200154,Music > Rock > Indie Rock
Softcore,Tamaryn,Cranekiss,QMV8L1420206,Music > Rock > Psychedelic Rock
Mirrors,Crocodiles,Sleep Forever (Special Edition),USFP71022601,Music > Rock > Post-Punk
Monotransistor,Jumbo,Restaurant,MXF019900412,Music > Rock > Indie Rock
Amarte A La Antigua,Pedro Fernández,Amarte A La Antigua,MXUM70901509,Music > Roots > Regional Mexicano > Ranchera
Marquee Moon (Edit),Television,Marquee Moon (Edit),USEE10300236,Music > Rock > Post-Punk
O Katrina!,Black Lips,Good Bad Not Evil,USALX0500966,Music > Rock > Indie Rock
Into The Deep ,Kula Shaker,K ,GBARL1100698,Music > Rock > Psychedelic Rock
Monk,Mini Mansions,Mini Mansions,USA561057443,Music > Rock > Indie Rock
Dream Girls,Moses Gunn Collective,Dream Girls,TCACQ1630251,Music > Rock > Indie Rock
Buffalo,The Phoenix Foundation,Buffalo - 10 Year Anniversary Edition,NZPF11000002,Music > Rock > Indie Rock
Waterfall,The Fresh & Onlys,Play It Strange,QM8QH1600417,Music > Rock > Indie Rock
Goddess on a Hiway,Mercury Rev,Deserter's Songs,GBUM71102311,Music > Rock > Psychedelic Rock
All Sparks,Editors,The Back Room,GBGAC0500009,Music > Rock > Post-Punk
Death,White Lies,To Lose My Life ...,GBUM70811880,Music > Rock > Post-Punk
A Place To Hide,White Lies,To Lose My Life ...,GBUM70812607,Music > Rock > Post-Punk
Farewell To The Fairground,White Lies,To Lose My Life...,GBUM70812613,Music > Rock > Post-Punk
To Lose My Life,White Lies,To Lose My Life ...,GBUM70818055,Music > Rock > Post-Punk
The Ghost in You,The Psychedelic Furs,Stranger Things (Soundtrack from the Netflix Original Series),GBBBN8400013,Music > Rock > Soft Rock
The Ghost in You,The Psychedelic Furs,Stranger Things (Soundtrack from the Netflix Original Series),GBBBN8400013,Music > Rock > Post-Punk
Tears,The Chameleons,Strange Times,USIR10001502,Music > Rock > Post-Punk
Swamp Thing,The Chameleons,Strange Times,USIR10001501,Music > Rock > Post-Punk
Slow Hands,Interpol,Antics,USMTD0461605,Music > Rock > Post-Punk
Not Even Jail,Interpol,Antics,USMTD0461606,Music > Rock > Post-Punk
C'mere,Interpol,Antics,USMTD0461608,Music > Rock > Post-Punk
Dance With Me,Lords Of The New Church,Is Nothing Sacred?,USIR38600006,Music > Rock > Post-Punk
Ghost,Motorama,Alps,FR59Y1300025,Music > Rock > Post-Punk
I Melt With You,Modern English,Pillow Lips,USTV19000011,Music > Rock > Post-Punk
Landslide,Sad Lovers & Giants,Epic Garden Music,GBBLY8200567,Music > Rock > Post-Punk
Colourless Dream,Sad Lovers & Giants,Epic Garden Music,GBBLY9000276,Music > Rock > Post-Punk
Alice Isn't Playing,Sad Lovers & Giants,Epic Garden Music,GBBLY9600017,Music > Rock > Post-Punk
An Cat Dubh,U2,Boy,GBUM70713117,Music > Rock > Post-Punk
The New,Interpol,Turn On The Bright Lights,USMTD1203107,Music > Rock > Indie Rock
Leif Erikson,Interpol,Turn On The Bright Lights,USMTD1203108,Music > Rock > Post-Punk
Love My Way,The Psychedelic Furs,Pure... Electronic 80s,GBBBN0102488,Music > Rock > Indie Rock
Love My Way,The Psychedelic Furs,Pure... Electronic 80s,GBBBN0102488,Music > Rock > Post-Punk
Dead Disco Dancer,O. Children,O. Children,GB4BW0900003,Music > Rock > Post-Punk
Melancholy,Human Tetris,Memorabilia,TCADP1817588,Music > Rock > Post-Punk
Pictures Of You,The Cure,Disintegration,GBUM71000205,Music > Rock > Post-Punk
Jaded,Aerosmith,Just Push Play,USSM10019474,Music > Rock > Hard Rock > Hard Rock (Standard)
