ISRC,Id Titulo,Título,Versión del título,Id Artista,Artista,Disco,Tipo Disco,Versión del disco,maximum_bit_depth,maximum_sampling_rate,maximum_channel_count,Es favorito
GBAAP2400106,269290979,Smalltown Boy ,ABSOLUTE. Rework,409561,Bronski Beat,Smalltown Boy ,Studio,ABSOLUTE. Rework,24,44.1,2,False
GBAAP1812339,294692167,Smalltown Boy ,Remaster,409561,Bronski Beat,The Age of Consent ,Studio,40 Year Anniversary Edition,16,44.1,2,True
CAN112201228,187374260,Swing Lynn,Sped Up Version,4474617,Harmless,Swing Lynn,Studio,Sped Up Version,24,48.0,2,False
TCACS1610798,141728353,Swing Lynn,,4474617,Harmless,I'm Sure,Studio,,24,44.1,2,True
USRC11701291,42260155,Take It or Leave It ,Unpeeled,111979,Cage The Elephant,Unpeeled,Studio,Unpeeled,24,48.0,2,False
USRC11301164,11630642,Take It Or Leave It,,111979,Cage The Elephant,Melophobia,Studio,,16,44.1,2,True
USUM71310619,11801006,The Man Who Sold The World,Live & Loud,46708,Nirvana,In Utero,Live,20th Anniversary Super Deluxe,24,44.1,2,False
USGF19972704,755933,The Man Who Sold The World,MTV Unplugged,46708,Nirvana,MTV Unplugged In New York,Live,Live,16,44.1,2,True
MXF012000302,112167335,Tú Sí Sabes Quererme ,TSSQ  - Michel Cleis RMX,148515,Natalia Lafourcade,Tú Sí Sabes Quererme ,Studio,TSSQ  - Michel Cleis RMX,24,48.0,2,False
MXF012100061,121480814,Tú Sí Sabes Quererme,,148515,Natalia Lafourcade,"Un Canto por México, Vol. II",Studio,,24,48.0,2,False
MXF011600414,39807315,Tú Sí Sabes Quererme,,148515,Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Studio,,16,44.1,2,True
FR2X42535319,354841994,Un Beso,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USUM50310885,6714072,Un Beso,,925981,Duelo,Desde Hoy,Studio,,16,44.1,2,True
FR2X42535318,354841993,Un Minuto Mas,,925981,Duelo,Colección Acústica Vol.1,Studio,,24,48.0,2,False
USUM50310882,6714060,Un Minuto Más,Album Version,925981,Duelo,Desde Hoy,Studio,,16,44.1,2,True
